ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,DATE_TIME,SETTLEMENT_ID,type,ORDER_ID,SKU,DESCRIPTION,QUANTITY,MARKETPLACE,FULFILLMENT,ORDER_CITY,ORDER_STATE,ORDER_POSTAL,PRODUCT_SALES,SHIPPING_CREDITS,GIFT_WRAP_CREDITS,PROMOTIONAL_REBATES,SALES_TAX_COLLECTED,MARKETPLACE_FACILITATOR_TAX,SELLING_FEES,FBA_FEES,OTHER_TRANSACTION_FEES,OTHER,TOTAL,ACCOUNT_TYPE,MARKETPLACE_WITHHELD_TAX,TAX_COLLECTION_MODEL,PRODUCT_SALES_TAX,SHIPPING_CREDITS_TAX,GIFTWRAP_CREDITS_TAX,PROMOTIONAL_REBATES_TAX
1413,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T07:25:58+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.46,0,0,0,0,0,-2.47,-6.43,0,0,7.56,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1414,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T23:47:15+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.46,0,0,0,0,0,-4.94,-6.43,0,0,5.09,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1415,2023-03-07T05:04:29.227+09:00,2023-03-07T05:04:29.227+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-16T23:47:15+09:00,15643653871,Order,112-6127503-6224268,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,BALTIMORE,MD,21218,16.46,0,0,0,0,0,0,-6.43,0,0,10.03,Invoiced Orders,0,,0,0,0,0
1416,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-27T19:38:00+09:00,15643653871,Order,113-6748499-5039461,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,Park City,UT,84098,16.36,0,0,0,0,0,-4.9,-6.43,0,0,4.54,Invoiced Orders,-0.98,MarketplaceFacilitator,0.49,0,0,0
1417,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-27T19:38:00+09:00,15643653871,Order,113-6748499-5039461,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,Park City,UT,84098,16.36,0,0,0,0,0,0,-6.43,0,0,10.42,Invoiced Orders,0,,0.49,0,0,0
1418,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-04-29T11:45:38+09:00,15712935371,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 5TCVFGWE6ZEROCU",0,,,,,,0,0,0,0,0,0,0,0,0,-60.35,-60.35,Invoiced Orders,0,,0,0,0,0
1419,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-06T10:56:02+09:00,15712935371,Order,112-6191320-2030642,FBA-OTG-RAM-JINMD-1BOX,"[OTTOGI] Jin Ramen, Mild Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,amazon.com,Amazon,Emeryville,CA,94608,28.32,0,0,0,0,0,-8.5,-7.33,0,0,12.49,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1420,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-06T10:56:02+09:00,15712935371,Order,112-6191320-2030642,FBA-OTG-RAM-JINMD-1BOX,"[OTTOGI] Jin Ramen, Mild Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,amazon.com,Amazon,Emeryville,CA,94608,28.32,0,0,0,0,0,0,-7.33,0,0,20.99,Invoiced Orders,0,,0,0,0,0
1421,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-12T07:06:05+09:00,15712935371,Refund,114-1054234-3145840,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,San Jose,CA,95131,-16.06,0,0,0,0,0,1.93,0,0,0,-14.13,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1422,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-12T07:09:16+09:00,15712935371,Order,114-1054234-3145840,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,San Jose,CA,95131,16.06,0,0,0,0,0,-2.41,-6.43,0,0,7.22,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1423,2023-03-07T05:04:29.763+09:00,2023-03-07T05:04:29.763+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-05-12T19:59:23+09:00,15712935371,Order,111-8829316-9717000,FBA-OTG-RAM-JINSP-1BOX,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",1,amazon.com,Amazon,Emeryville,CA,94608,28.3,0,0,0,0,0,-4.25,-7.33,0,0,16.72,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
