ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,RETURN_DATE,ORDER_ID,SKU,ASIN,FNSKU,PRODUCT_NAME,QUANTITY,FULFILLMENT_CENTER_ID,DETAILED_DISPOSITION,REASON,STATUS,LICENSE_PLATE_NUMBER,CUSTOMER_COMMENTS
1368,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-29T17:00:00+09:00,114-8100789-6189066,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,LEX2,CARRIER_DAMAGED,UNDELIVERABLE_UNKNOWN,Reimbursed,LPNRRCN5875356,
1369,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-27T17:00:00+09:00,111-3662246-1257050,FBA-OTG-RAM-JINSP-4PK-NEW,B08HZFQY2M,X002V03WOT,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) - 4 Pack",1,PHX6,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRRCM6606467,
1370,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-27T17:00:00+09:00,111-7440799-4833816,FBA-OTG-RAM-JINMD-6CUP,B003YH19TC,X002SS7MLD,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRRCL3037222,
1371,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-24T17:00:00+09:00,111-2311946-8752233,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,SMF1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCB7219465,
1372,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-20T17:00:00+09:00,114-7865678-5535453,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,CVG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCA1289506,
1373,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-20T17:00:00+09:00,114-3051729-0769846,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,CVG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCA1289505,
1374,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-20T17:00:00+09:00,113-0449477-0621007,FBA-OTG-RAM-JINSP-6CUP-2,B07PJ7RS6Q,X002T6SXDZ,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRRCM0062472,
1375,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-19T17:00:00+09:00,112-2522118-8638661,FBA-OTG-RCE-CKD-210G,B007Y9NH32,X002SZBTXD,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,LEX1,DEFECTIVE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCH6736676,
1376,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-19T17:00:00+09:00,114-3587394-4247439,FBA-OTG-RAM-CHSE-4PK-NEW,B091X2QB7H,X002UZVMXN,"[OTTOGI] Cheese Ramen, KOREAN STYLE INSTANT NOODLE, Rich flavor with savory cheese (111g) - 4 Pack",1,CVG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCB1372444,
1377,2023-03-07T04:10:42.983+09:00,2023-03-07T04:10:42.983+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-12-18T17:00:00+09:00,113-5723894-6790604,FBA-OTG-PSH-CHI-24PK,B089NZ28K9,X002T08WS7,[OTTOGI] PPUSHU PPUSHU NOODLE SNACK- Grilled Chicken Flavor(90g) - 24 Pack,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRCN4905623,
